Отметка времени,"Попробуйте вспомнить и предположить, с какой именно инфекцией чаще всего встречались вы и ваши одногруппники                       Do you remember what sort of URI's you or your group mates usually fall victim to ?","Вы ходите на учебу, когда больны ОРВИ? Do you go to classes although you’re down with the cold ?","Если на предыдущий вопрос вы ответили ""Да"", расскажите, почему? If you answered yes to the previous question please explain why ",Случались ли у вас в группе или на потоке крупные вспышки ОРВИ? Has it happened before that a huge amount of people were infected at the same time ?,"А лично вас когда-нибудь заражали больные одногруппники, посетившие занятия? Have you been directly infected by a group mate who wasn’t present during class ? ","Как думаете, стоит создать облегченный режим отработок для студентов с инфекционными заболеваниями, выбравших остаться дома до выздоровления? What do you think, would it be reasonable to have a better regime of replacement classes for students who have fallen ill and have chosen to stay home till they feel better?","Последний вопрос: чем вы обычно лечитесь, заболев ОРВИ? How do you normally treat yourself when ill with an URI ?"
08.04.2018 3:03:13,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 3:10:04,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 3:10:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 3:27:38,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 3:32:08,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 3:40:54,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 4:04:51,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Опасаюсь проблем с зачетом,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 4:12:12,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 4:54:37,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 5:37:21,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 5:52:15,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 6:08:53,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 6:26:48,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 6:33:11,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 6:58:40,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 6:58:59,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Да,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 6:59:49,,"Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 7:00:55,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 7:06:43,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 7:13:55,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 7:16:44,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Не лечусь 
08.04.2018 7:17:30,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 7:21:12,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 7:23:59,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Терафлю; септолетте; флюдитек; отривин; снуп и др.
08.04.2018 7:24:55,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 7:28:40,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 7:29:05,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Опасаюсь проблем с зачетом, не хочу потом носиться как бешеный и отрабатывать",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 7:35:21,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Да, это обеспечит эпидемическую безопасность","Как бы это странно и не логично звучало от студента медицинского вуза - лечусь народными средствами: много травяного чая, домашнее варенье, замороженные ягоды, мед, лук, чеснок, отпаривание ног, горчичники. "
08.04.2018 7:39:33,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски",Опасаюсь проблем с зачетом,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 7:40:15,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 7:41:48,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 7:42:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 7:43:03,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 7:44:01,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Нет,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 7:44:41,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность","Тем, что назначит врач"
08.04.2018 7:58:14,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:03:34,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:05:12,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:05:42,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:06:45,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Нет, это будет просто очередной повод прогулять пары",Осельтамивир/тамифлю
08.04.2018 8:07:05,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:07:12,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 8:18:44,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 8:19:42,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:23:14,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Нет,"Да, это обеспечит эпидемическую безопасность","Тем, что назначит врач"
08.04.2018 8:26:10,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:29:58,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:32:46,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:33:49,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:35:08,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:35:49,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:36:01,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:37:01,"Точно не могу сказать, классический набор: температура, насморк, кашель,голова","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:38:36,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 8:41:06,"ОРВИ (насморк,кашель,боль в горле,слабость,повышенная температура,чихание)","Да, в маске",Опасаюсь проблем с зачетом,Да,Нет,"Да, это обеспечит эпидемическую безопасность","Римантадин, терафлю"
08.04.2018 8:41:13,Ангина,"Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 8:41:39,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:42:26,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Да,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
08.04.2018 8:43:06,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Нет, я беру справку и остаюсь дома",,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:44:14,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:44:41,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 8:44:56,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:46:17,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:51:14,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Нет,"Да, это обеспечит эпидемическую безопасность",Оциллококцинум и другие гомеопатические средства
08.04.2018 8:54:46,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:55:08,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 8:57:03,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 8:58:45,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Оциллококцинум и другие гомеопатические средства
08.04.2018 8:59:11,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 9:02:10,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:04:09,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске",Опасаюсь проблем с зачетом,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:04:14,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Римантадин
08.04.2018 9:12:27,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 9:16:07,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 9:16:33,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:17:10,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:17:20,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары","Больничный лист на 7 дней, симптоматическое лечение - парацетамол по самочувствию, но не чаще 3 таблеток в день, обильное питье, оптимальные климатические условия в помещении, противовирусные в России бесполезны - лучше больничного листа лечения орви нет (ну тамифлю и осельтамавир на пол дня в среднем уменьшают период болезни, смысла особо тоже нет)"
08.04.2018 9:19:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:20:52,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:21:44,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:22:16,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:22:16,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Опасаюсь проблем с зачетом,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",не лечусь
08.04.2018 9:25:16,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:27:04,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Оциллококцинум и другие гомеопатические средства
08.04.2018 9:28:02,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Оциллококцинум и другие гомеопатические средства
08.04.2018 9:28:26,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 9:29:44,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:30:25,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:31:27,,"Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:31:43,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 9:32:17,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:32:51,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:35:20,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:36:05,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Нет,"Нет, это будет просто очередной повод прогулять пары",Осельтамивир/тамифлю
08.04.2018 9:36:08,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:36:55,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 9:37:00,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Нет, это будет просто очередной повод прогулять пары","в зависимости от степени тяжести и желания выздороветь – и антибиотики, и симптоматическое лечение, и гомеопатия"
08.04.2018 9:37:17,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:41:05,"Грипп, ангина ","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",По рекомендациям врача
08.04.2018 9:41:30,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 9:41:42,ОРВИ,"Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, «Даже смерть не является уважительной причиной для пропуска занятий»  как говорил один преподаватель",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
